1000020510 21
1000015400 66
1000028048 19
1000026719 77
1000007536 76
1000021939 59
1000007266 53
1000018426 14
1000000001 79
1000019924 51
1000031000 4
1000013442 90
1000001556 86
1000028156 92
1000010681 37
1000007485 88
1000031253 22
1000015586 98
1000007090 84
1000005107 70
1000032016 61
1000027905 7
1000026194 96
1000017265 50
1000012600 77
1000023319 63
1000015693 63
1000030215 60
1000029794 81
1000007335 97
1000029498 28
1000011273 29
1000010887 80
1000007800 27
1000003093 90
1000016977 52
1000006214 86
1000021269 88
1000024510 73
1000010427 6
1000019807 56
1000029003 60
1000019576 80
1000010408 45
1000007993 67
1000017069 54
1000031083 5
1000015228 65
1000013150 11
1000000531 38
1000010530 27
1000028961 85
1000006649 21
1000018967 5
1000007181 53
1000026241 39
1000030815 38
1000005015 67
1000000768 32
1000019471 76
1000017283 30
1000017462 60
1000000434 77
1000031807 97
1000002688 16
1000019675 68
1000016703 30
1000008714 7
1000020755 80
1000022576 89
1000004775 69
1000028523 60
1000031262 85
1000002340 17
1000008525 13
1000025572 83
1000016935 95
1000018793 79
1000013688 83
1000008954 39
1000018903 94
1000010231 18
1000001749 23
1000023220 42
1000012411 28
1000018311 49
1000007924 70
1000014880 87
1000016006 45
1000023833 96
1000019399 82
1000030670 53
1000008205 84
1000015983 79
1000008742 25
1000026708 20
1000012105 23
1000000144 99
1000004173 24
1000009416 0
